Invoice No.,Date,Customer Name,Customer Id,Customer Type,Customer Type,Rep,CSR,Qty of Items, Ext. Amount,Freight Amount,Ship Via,Ship Via Description,Ship From,Ship to City,Ship to State,Freight Comment
495287,43865,"PACIFIC NORTHERN, INC.",PACICAR,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,JGDI,Dee Erdei,3,0,0,FEDEXG,FedEx Ground,1PW,Carrollton,TX,DO NOT CHARGE FREIGHT
495288,43865,CHANDLER EXHIBITS INC.,CHANAFT,DISM,DISPLAY RETAILER/PRODUCER - METAL,DEND,Dee Erdei,3,0,0,FEDEXG,FedEx Ground,1PW,Afton,MN,DO NOT CHARGE FREIGHT
495289,43865,IDX - ST. LOUIS,IDXEACI,DISW,DISPLAY RETAILER/PRODUCER - WOOD,DEND,Dee Erdei,3,0,0,FEDEXG,FedEx Ground,1PW,Earth City,MO,DO NOT CHARGE FREIGHT
495290,43865,IRA MINKOFF INC,IRAM,REP,CURRENT REP,REP,Dee Erdei,3,0,0,PICKUP,Pick Up,1PW,East Meadow,NY,
495291,43865,"MOON LIGHTING, LLC",MOONBRO,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,1,20,13.79,FEDEXG,FedEx Ground,1PW,Brooklyn,NY,
495292,43865,GRAYBAR - MILWAUKEE,GRAYMIL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLAZ,Gabriel O'Reilly,1,598.5,0,UPSG,UPS Ground,1PW,Milwaukee,WI,USE UPS ACCT# 9769V8
495293,43865,KAY ELECTRIC,KAYECON,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SGRO,Verenis Cervantes,5,1177.16,41.13,FEDEXG,FedEx Ground,1PW,Conshohocken,PA,
495294,43865,"G&G ELECTRIC SUPPLY CO.,INC.",G&GENEW,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,METR,Verenis Cervantes,3,900,18.44,FEDEXG,FedEx Ground,1PW,Bronx,NY,
495295,43865,LT LIGHTING LLC,LTLIAST,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,AYIN,Edwin Ma,1,240,0,PICKUP,Pick Up,1PW,Astoria,NY,
495296,43865,LOEB ELECTRIC,LOEBCOL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,DEND,Dee Erdei,2,2.95,15.7,FEDEXG,FedEx Ground,1PW,Aspen,CO,
495297,43865,TRI-STAR LIGHTING,0TRISTA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,48.8,11.75,FEDEXG,FedEx Ground,1PW,WOODSIDE,NY,
495298,43865,LIGHTING JUNGLE,CHUINYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,77.64,29.23,FEDEXG,FedEx Ground,1PW,Cincinnati,OH,
495299,43865,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,VCER,Verenis Cervantes,1,69.76,0,UPSG,UPS Ground,1PW,Attleboro,MA,SHIP VIA UPS ACCT# 5X6-190
495301,43865,REXEL CLS HARTFORD,REXECOM,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAC,Dee Erdei,1,562.5,50.57,FEDEXG,FedEx Ground,1PW,Farmersville,TX,
495302,43865,"LUM-TECH LIGHTING, INC.",LUMTECH,MANF,MANUFACTURER,HSNY,Edwin Ma,5,108.24,36.17,FEDEXG,FedEx Ground,1PW,Portsmouth,NH,
495303,43865,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,1,89.7,11.33,FEDEXG,FedEx Ground,1PW,Byron Center,MI,
495304,43865,LOEB ELECTRIC,LOEBCOL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,DEND,Dee Erdei,1,132,21.38,FEDEXG,FedEx Ground,1PW,Downey,CA,
495305,43865,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,1,36,0,UPSG,UPS Ground,1PW,Charlotte,NC,UPS ACCT # 03800E
495306,43865,"JAHABOW, LLC",JAHAOWE,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,DEND,Dee Erdei,1,27,15.27,FEDEXG,FedEx Ground,1PW,Owensville,MO,
495307,43865,"LEE & LEE SUPPLIES, INC.",GRANT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,1554.65,43.76,FEDEXG,FedEx Ground,2LA,Teaneck,NJ,
495308,43865,YALE ELECTRIC SUPPLY,YALEES,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,ESSL,Verenis Cervantes,1,3625,42.79,FEDEXG,FedEx Ground,1PW,Canton,MA,
495309,43865,RAINBOW LTG,RAINB,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,NYCS,Edwin Ma,1,118.56,0,FEDEXG,FedEx Ground,1PW,Brooklyn,NY,DO NOT CHARGE FREIGHT
495310,43865,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,49.28,0,FEDEXG,FedEx Ground,1PW,Lincoln City,OR,USE FED/X 124454549
495311,43865,GEXPRO - ROCKFORD,GEXPROC,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,VERT,Gabriel O'Reilly,1,25.56,0,UPSG,UPS Ground,1PW,Sterling,IL,USE UPS ACCT# 618430
495320,43865,CED - RALEIGH,CEDRALE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,QUAL,Gabriel O'Reilly,1,147,14.03,FEDEXG,FedEx Ground,2LA,Raleigh,NC,
495321,43865,W.N.L LIGHTING,WNLLTG,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,NYCS,Edwin Ma,1,5,13.79,FEDEXG,FedEx Ground,1PW,NEW YORK,NY,
495322,43865,NTENSION,NTENHER,MISC,ACCOUNT WITH NO CLASSIFICATION,HLIT,Dee Erdei,1,212.3,0,FEDEXPO,FedEx Priority Overnight,1PW,HERMON,ME,FEDEX # 3901-2682-4
495323,43865,D2S INC.,D2STORO,REP,CURRENT REP,SGRO,Karine Adrien,3,1956.5,0,UPSSC,UPS Standard To Canada,1PW,TORONTO,ON,FREIGHT COLLECT TO UPS ACCT# R40674
495325,43865,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,VCER,Verenis Cervantes,1,17.88,0,UPSG,UPS Ground,1PW,Asbury Park,NJ,SHIP VIA UPS ACCT# 5X6-190
495327,43865,AMAZON SELLER CENTRAL,AMASSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,1,32.97,0,FEDEXG,FedEx Ground,1PW,Fort Lauderdale,FL,DO NOT CHARGE FREIGHT
495328,43865,AMAZON SELLER CENTRAL,AMASSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,1,10.99,0,FEDEXG,FedEx Ground,1PW,Benton,IL,DO NOT CHARGE FREIGHT
495329,43865,BEARWOOD CONCEPTS INC.,BEARTUL,DISW,DISPLAY RETAILER/PRODUCER - WOOD,JGDI,Dee Erdei,1,549.45,0,FEDEXG,FedEx Ground,1PW,Tulsa,OK,FED EX # 4753-7080-5
495330,43865,IDX - DAYTON,IDXDAYT,DISW,DISPLAY RETAILER/PRODUCER - WOOD,DEND,Dee Erdei,4,4989.6,0,FEDEXG,FedEx Ground,1PW,Dayton,OH,FEDEX ACCT # 3453-0023-6
495331,43865,"POWER SHINE LIGHTING, INC.",POWEBRO,DIST,LIGHTING DISTRIBUTOR,NYCS,Edwin Ma,1,590,10.56,FEDEXG,FedEx Ground,1PW,Brooklyn,NY,
495332,43865,CS ILLUMINATION,CSILENC,DESI,DESIGNER/INTERIOR DECORATOR,FALV,Dee Erdei,3,116.55,0,UPSG,UPS Ground,1PW,Orlando,FL,UPS ACCT # X2041R
495333,43865,"PARADISE LIGHTING, INC.",PAR2BRO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,NYCS,Edwin Ma,1,0,0,FEDEXG,FedEx Ground,1PW,Brooklyn,NY,DO NOT CHARGE FREIGHT
495335,43865,REXEL CAPITOL LIGHT,CAPITO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,METR,Dee Erdei,1,252,58.76,FEDEXG,FedEx Ground,2LA,Arlington,VA,
495336,43865,STARBEAM SUPPLY CO.,STARSTL,DIST,LIGHTING DISTRIBUTOR,GATE,Veronica Garcia,2,165.9,19.66,FEDEXG,FedEx Ground,2LA,Saint Louis,MO,
495337,43865,REXEL CAPITOL LIGHT,CAPITO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,METR,Dee Erdei,1,126,42.51,FEDEXG,FedEx Ground,2LA,Fairfax,VA,
495338,43865,REGENCY LIGHTING,REGENC,DIST,LIGHTING DISTRIBUTOR,FAAS,Maria Hernandez,1,67.64,0,UPSG,UPS Ground,2LA,Hayward,CA,USE UPS# 535W4E
495339,43865,GRAYBAR - COLUMBUS,GRAYCOL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SPLI,Gabriel O'Reilly,1,324,0,UPSG,UPS Ground,2LA,Columbus,OH,USE UPS ACCT# 9769V8
495340,43865,H & H PRESCOTT LIGHTING,HHPRBIR,REP,CURRENT REP,SGRO,Verenis Cervantes,18,2402.64,249.6,FEDEXG,FedEx Ground,2LA,Highlands,NC,
495341,43865,REXEL CLS HARTFORD,REXECOM,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAC,Dee Erdei,3,43.32,82.42,FEDEXG,FedEx Ground,2LA,MISSION,BC,
495342,43865,FORMAN AND ASSOCIATES,FAAS,REP,CURRENT REP,REP,Maria Hernandez,41,-1.13687E-13,0,FEDEXG,FedEx Ground,2LA,Van Nuys,CA,DO NOT CHARGE FREIGHT
495343,43865,"VISION WOODWORKING, INC.",VISIFRI,DISW,DISPLAY RETAILER/PRODUCER - WOOD,DEND,Dee Erdei,1,0,0,FEDEXG,FedEx Ground,2LA,Washington,DC,
495347,43866,"LEE & LEE SUPPLIES, INC.",GRANT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,4,1237.95,0,DELIVERY,Delivery,1PW,Long Island City,NY,
495348,43866,"LEE & LEE SUPPLIES, INC.",GRANT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,3,14949.32,0,DELIVERY,Delivery,1PW,Long Island City,NY,
495349,43866,"MIZ LIGHTING, INC.",MIZLTEN,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,PBLD,Edwin Ma,6,126.45,0,DELIVERY,Delivery,1PW,New York,NY,
495350,43866,R. BDELAA LIGHTING INC,RBDEFOR,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,AYIN,Edwin Ma,5,684.84,0,DELIVERY,Delivery,1PW,Forest Hills,NY,
495351,43866,BAYRIDGE ELECTRIC CORP.,SIX8ELE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,2,1353,0,DELIVERY,Delivery,1PW,Brooklyn,NY,
495352,43866,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,2,47.28,0,DELIVERY,Delivery,1PW,Maspeth,NY,
495353,43866,"LEE & LEE SUPPLIES, INC.",GRANT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,2,80.67,0,DELIVERY,Delivery,1PW,Long Island City,NY,
495354,43866,MEGA VISION INC.,MEGABRO,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,AYIN,Edwin Ma,1,696,0,DELIVERY,Delivery,1PW,Brooklyn,NY,
495355,43866,DOMINION ELECTRIC - CHANTILLY,DOMICHA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LENV,Verenis Cervantes,7,1484.5,12.05,FEDEXG,FedEx Ground,1PW,Chantilly,VA,
495356,43866,"SILVER STAR INDUSTRIES, INC",SILVNOR,CABI,CABINET / WOOD MAKER,FALV,Dee Erdei,3,0,0,FEDEXG,FedEx Ground,1PW,North Bonneville,WA,DO NOT CHARGE FREIGHT
495357,43866,LIGHTING FRONT,LFROSOA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,20.7,0,FEDEXG,FedEx Ground,1PW,Des Moines,IA,USE FED/X 902651888
495358,43866,SPARK LIGHTING CORP,SPARBRO,DIST,LIGHTING DISTRIBUTOR,NYCS,Edwin Ma,1,0,0,FEDEXG,FedEx Ground,1PW,Brooklyn,NY,DO NOT CHARGE FREIGHT
495359,43866,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,1,23.8,48.52,FEDEXPO,FedEx Priority Overnight,1PW,North Conway,NH,
495360,43866,KAY ELECTRIC,KAYECON,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SGRO,Verenis Cervantes,11,0,0,FEDEXG,FedEx Ground,1PW,Conshohocken,PA,DO NOT CHARGE FREIGHT
495361,43866,WIEDENBACH BROWN-YORBA LINDA,WEIDHAW,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,FAAS,Maria Hernandez,30,12367.68,263.35,FEDEXG,FedEx Ground,1PW,Denver,CO,
495362,43866,GEXPRO - JACKSONVILLE,GEXPJAC,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,ARDD,Verenis Cervantes,2,1169.4,12.97,FEDEXG,FedEx Ground,1PW,Capitol Heights,MD,
495363,43866,LAMPS PLUS - INTERNET ACCOUNTS,LPLUCHA,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,JGEC,Maria Hernandez,1,40.95,20.6,FEDEXH,FedEx Home Delivery,1PW,South Pasadena,CA,
495364,43866,"KPI CONCEPTS, INC.",KPICWBU,MANF,MANUFACTURER,DEND,Dee Erdei,3,815,18.66,FEDEXG,FedEx Ground,1PW,West Burlington,IA,
495365,43866,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,1,8.75,12.08,FEDEXG,FedEx Ground,1PW,Omaha,NE,
495366,43866,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,2,531.23,0,UPSG,UPS Ground,1PW,Beacon,NY,USE UPS ACCT#T3301T
495367,43866,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,102.49,0,FEDEXG,FedEx Ground,1PW,Brooklyn,NY,USE FEDEX ACCT# 876058081    LIGHTHOUSE
495368,43866,GRAYBAR - BUFFALO,GRAYCHE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MOXI,Verenis Cervantes,1,240,0,UPSG,UPS Ground,1PW,Niagara Falls,NY,
495369,43866,"CREATIVE LIGHTING, LLC",CREAPBE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,CSNA,Manny Estevez,1,76.5,13.12,FEDEXG,FedEx Ground,1PW,Kennesaw,GA,
495370,43866,LIGHTING & ELECTRICAL SOLUTION,LENEWES,DIST,LIGHTING DISTRIBUTOR,SGRO,Verenis Cervantes,2,430.56,183.23,FEDEXES,FedEx Express Saver,1PW,Weston,FL,
495372,43866,E & W WHOLESALE HARDWARE,EWWHBRO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,NYCS,Edwin Ma,1,90,28.26,FEDEXG,FedEx Ground,1PW,Brooklyn,NY,
495373,43866,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,10,5219.65,73.77,FEDEXG,FedEx Ground,1PW,Byron Center,MI,
495376,43866,"VIACON, INC.",VIACSTO,DEST,DESIGN STUDIO,HSNY,Verenis Cervantes,2,473.01,13.82,FEDEXG,FedEx Ground,1PW,Stockbridge,GA,
495377,43866,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,2,36,0,UPSG,UPS Ground,1PW,Easton,PA,USE UPS ACCT# 1Y750E IF SHIPPING LABEL NOT PROVIDED
495378,43866,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,2,36,0,UPSG,UPS Ground,1PW,Jacksonville,FL,USE UPS ACCT# 1Y750E IF SHIPPING LABEL NOT PROVIDED
495379,43866,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,2,36,0,UPSG,UPS Ground,1PW,Monroe,OH,USE UPS ACCT# 1Y750E IF SHIPPING LABEL NOT PROVIDED
495380,43866,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,2,36,0,UPSG,UPS Ground,1PW,Logan Township,NJ,USE UPS ACCT# 1Y750E IF SHIPPING LABEL NOT PROVIDED
495381,43866,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,5,198.21,0,UPSG,UPS Ground,1PW,Hazleton,PA,USE UPS ACCT# 1Y750E IF SHIPPING LABEL NOT PROVIDED
495382,43866,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,1,118.8,0,UPSG,UPS Ground,1PW,Memphis,TN,USE UPS ACCT# 1Y750E IF SHIPPING LABEL NOT PROVIDED
495384,43866,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,VCER,Verenis Cervantes,1,107.28,0,UPSG,UPS Ground,1PW,Revere,MA,SHIP VIA UPS ACCT# 5X6-190
495385,43866,FIVE INC,FIVELEH,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,FALV,Dee Erdei,3,225.7,0,FEDEXPO,FedEx Priority Overnight,2LA,Lehi,UT,FED EX ACCT # 3868-7757-2
495389,43866,"CREATIVE LIGHTING, LLC",CREAPBE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,CSNA,Manny Estevez,1,20,0,UPSG,UPS Ground,1PW,Kennesaw,GA,
495390,43866,"CITY ELECTRIC SUPPLY, LLC",CITYJER,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,PBLD,Edwin Ma,8,10897,132.66,FEDEXG,FedEx Ground,1PW,Jersey City,NJ,
495393,43866,LIGHTING JUNGLE,CHUINYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,1.88,17.03,FEDEXG,FedEx Ground,1PW,Rancho Santa Fe,CA,
495394,43866,COLONIAL ELECT-KING OF PRUSSIA,COLOKIN,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LMLA,Gabriel O'Reilly,5,0,13.81,FEDEXG,FedEx Ground,1PW,Chantilly,VA,
495396,43866,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,85.76,0,FEDEXG,FedEx Ground,1PW,Bay Village,OH,USE FED/X 124454549
495397,43866,ECLAIRAGE DELUX,DELUQUE,REP,CURRENT REP,SGRO,Karine Adrien,1,818.77,457.47,FEDEXIE,FedEx International Economy,1PW,QUEBEC,QC,
495398,43866,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,VCER,Verenis Cervantes,1,53.64,0,UPSG,UPS Ground,1PW,Hackensack,NJ,SHIP VIA UPS ACCT# 5X6-190
495399,43866,LIGHTING GETZ,LGETNEW,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,1,49,32.08,FEDEXG,FedEx Ground,1PW,New York,NY,
495400,43866,AMAZON SELLER CENTRAL,AMASSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,1,45.98,0,UPSG,UPS Ground,1PW,Franklin,OH,
495401,43866,FSG LIGHTING - AUSTIN,FSGLAUS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,1,64.64,0,FEDEXG,FedEx Ground,1PW,Austin,TX,USE FEDEX# 586819267
495402,43866,COOPER ELECTRIC - MIDDLETOWN,COOPMID,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,PBLD,Edwin Ma,4,1503.2,12.96,FEDEXG,FedEx Ground,1PW,Piscataway,NJ,
495403,43866,US ELECT - MONARCH NEW YORK,MONANYO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,2,1203.66,85.47,FEDEXG,FedEx Ground,1PW,Kearny,NJ,
495405,43866,GFC LIGHTING WHOLESALER,GFCLVAL,DEST,DESIGN STUDIO,METR,Verenis Cervantes,5,0,0,UPSG,UPS Ground,0NY,Belleville,NJ,SHIP VIA UPS ACCOUNT R4Y071
495406,43866,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,2,56.4,0,UPSG,UPS Ground,2LA,Rialto,CA,USE UPS ACCT# 1Y750E IF SHIPPING LABEL NOT PROVIDED
495407,43866,VILLA LIGHTING SUPPLY,VILLALS,DIST,LIGHTING DISTRIBUTOR,GATE,Veronica Garcia,3,260,0,UPSG,UPS Ground,2LA,Saint Louis,MO,USE UPS ACCT#670455
495408,43866,"SESCO ELECTRIC CO., INC",SESCCHA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,FASA,Karine Adrien,1,118.65,40.18,FEDEXG,FedEx Ground,2LA,Chattanooga,TN,
495410,43866,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,1,104.93,0,UPSG,UPS Ground,2LA,Clear Brook,VA,USE UPS ACCT# 1Y750E IF SHIPPING LABEL NOT PROVIDED
495411,43866,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,1,157.5,176.86,FEDEXPO,FedEx Priority Overnight,2LA,Honolulu,HI,
495412,43866,METROPOLITAN LIGHTING CO.,METROP,DESI,DESIGNER/INTERIOR DECORATOR,LENV,Verenis Cervantes,6,283.8,41.04,FEDEXG,FedEx Ground,1PW,Chantilly,VA,
495413,43866,WIRELESS VISION,WIREBLO,MISC,ACCOUNT WITH NO CLASSIFICATION,DEND,Dee Erdei,1,55.65,33.62,FEDEXG,FedEx Ground,2LA,Delray Beach,FL,
495414,43866,CHIPPENHOOK CORPORATION,CHIPHO,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,JGDI,Dee Erdei,2,1314,0,UPS2,UPS 2nd Day Air,2LA,Lewisville,TX,
495415,43866,GREENVALE ELECTRIC SUPPLY,GREEGRE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,617.4,25.18,FEDEXG,FedEx Ground,2LA,Greenvale,NY,
495416,43866,"THE GOING GROUP, LLC",GOINHOW,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,2,90,16.32,FEDEXG,FedEx Ground,2LA,Whitestone,NY,
495417,43866,LAMPS PLUS - INTERNET ACCOUNTS,LPLUCHA,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,JGEC,Maria Hernandez,1,134.26,23.01,FEDEXH,FedEx Home Delivery,2LA,CARLSBAD,CA,
495418,43866,ELLIOTT ELECTRIC - GEORGETOWN,ELLIGEO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,1,82,22.33,FEDEXG,FedEx Ground,2LA,Georgetown,TX,
495419,43866,"STANLY FIXTURE, LLC",STANLE,CABI,CABINET / WOOD MAKER,CHES,Manny Estevez,1,79.5,27.28,FEDEXG,FedEx Ground,2LA,NORWOOD,NC,
495420,43866,REXEL CLS HARTFORD,REXECOM,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAC,Dee Erdei,3,118.62,17.1,FEDEXG,FedEx Ground,2LA,Butler,NJ,
495421,43866,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,131.98,0,FEDEXG,FedEx Ground,2LA,Laurel Park,NC,USE FED/X 124454549
495422,43866,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,132.3,0,FEDEXG,FedEx Ground,2LA,Silver Spring,MD,USE FED/X 124454549
495423,43866,LAMPS PLUS - INTERNET ACCOUNTS,LPLUCHA,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,JGEC,Maria Hernandez,1,201.39,56.32,FEDEXH,FedEx Home Delivery,2LA,Cape Coral,FL,
495424,43866,FSG LIGHTING - DALLAS,FSGLDAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,4,860.5,42.6,FEDEXG,FedEx Ground,2LA,Irving,TX,
495425,43866,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,4,976.45,48.12,FEDEXG,FedEx Ground,2LA,Fort Worth,TX,
495426,43866,REGENCY LIGHTING,REGENC,DIST,LIGHTING DISTRIBUTOR,FAAS,Maria Hernandez,3,542.75,0,UPSG,UPS Ground,2LA,Chatsworth,CA,USE UPS# 535W4E
495427,43866,WALTERS WHOLESALE,WALTER,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,FAAS,Maria Hernandez,5,721,38.67,FEDEXG,FedEx Ground,2LA,Valencia,CA,
495428,43867,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,2,43.12,0,DELIVERY,Delivery,1PW,Maspeth,NY,
