Invoice No.,Date,Customer Name,Customer Id,Customer Type,Customer Type Description,Rep,CSR,Qty of Items P/Invoice, Ext. Amount,Freight Amount,Ship Via,Ship Via Description,Ship From,Ship to City,Ship to State,Int'l,Freight Comment,QUESTIONS FOR CSR
476391,43475,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,14.18,0,UPSG,UPS Ground,1PW,Rhoadesville,VA,,USE UPS ACCT#T3301T,
481986,43579,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,3,190.26,18.9,FEDEXG,FedEx Ground,1PW,Seattle,WA,,,
482072,43580,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,3,177.84,15.37,FEDEXG,FedEx Ground,1PW,Pompano Beach,FL,,,
482092,43580,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,1,342,26.19,FEDEXG,FedEx Ground,2LA,Pompano Beach,FL,,,
476395,43475,GOODMART ELECTRICAL SUPPLY,GDMAEL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,METR,Verenis Cervantes,6,333.45,0,UPSG,UPS Ground,1PW,Brooklyn,NY,,"PLEASE SHIP USING UPS ACCOUNT # 8V96F4
",
482881,43599,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,1,165,12.26,FEDEXG,FedEx Ground,1PW,Portland,OR,,,
476397,43475,LIGHTING ENVIRONMENTS,LENV,REP,CURRENT REP,REP,Verenis Cervantes,1,0,0,FEDEXSO,FedEx Standard Overnight,1PW,Baltimore,MD,,"DO NOT CHARGE FREIGHT                             
",
476398,43475,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,241.65,0,UPSG,UPS Ground,1PW,New York,NY,,USE UPS ACCT#T3301T,
476399,43475,"BELLACOR.COM, INC.",BELLMEN,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,8.06,0,UPSG,UPS Ground,1PW,Pittsburgh,PA,,SHIP VIA UPS ACCOUNT # A79R63,
476400,43475,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,20.7,0,UPSG,UPS Ground,1PW,Mounds View,MN,,USE UPS ACCT#T3301T,
476401,43475,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,14.18,0,UPSG,UPS Ground,1PW,Houston,TX,,USE UPS ACCT#T3301T,
482906,43599,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,3,619.38,36.1,FEDEXG,FedEx Ground,2LA,Portland,OR,,,
484223,43627,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,4,108.12,20.14,FEDEXG,FedEx Ground,2LA,Pompano Beach,FL,,,
484224,43627,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,4,263.39,31.08,FEDEXG,FedEx Ground,2LA,Pompano Beach,FL,,,
476405,43475,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Edwin Ma,1,281.58,0,FEDEXG,FedEx Ground,1PW,New York,NY,,ship via FedEx Account Number 876058081,
484418,43630,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,2,380,31.2,FEDEXG,FedEx Ground,1PW,Pompano Beach,FL,,,
484425,43630,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,5,429.88,31.02,FEDEXG,FedEx Ground,1PW,Pompano Beach,FL,,,
485619,43657,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,4,851.55,49.5,FEDEXG,FedEx Ground,1PW,Glen Burnie,MD,,,
485723,43658,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,1,214.5,12.23,FEDEXG,FedEx Ground,2LA,Glen Burnie,MD,,,
487811,43704,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,5,522.92,42.28,FEDEXG,FedEx Ground,1PW,Venice,FL,,,
488380,43714,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,5,1210.63,60.45,FEDEXG,FedEx Ground,1PW,Stratford,CT,,,
489011,43727,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,5,996.99,83.03,FEDEXG,FedEx Ground,1PW,Long Beach,CA,,,
476415,43475,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Verenis Cervantes,1,33.88,0,UPSG,UPS Ground,1PW,Owego,NY,,SHIP VIA UPS ACCT# 5X6-190,
489539,43739,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,3,85.48,11.92,FEDEXG,FedEx Ground,1PW,Venice,FL,,,
490895,43767,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,4,409,18.54,FEDEXG,FedEx Ground,1PW,Kennesaw,GA,,,
490972,43768,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,4,445.14,42.12,FEDEXG,FedEx Ground,1PW,Summerdale,AL,,,
476431,43475,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,2,594,0,UPSG,UPS Ground,1PW,Bronx,NY,,USE UPS ACCT#T3301T,
476432,43475,WALTERS WHOLESALE,WALTER,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,FAAS,Maria Hernandez,16,2445,26.07,FEDEXG,FedEx Ground,1PW,Santa Fe Springs,CA,,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CHARGES   
MAYBE DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS",
490980,43768,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,1,5.95,10.68,FEDEXG,FedEx Ground,2LA,Kennesaw,GA,,,
491027,43769,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,4,1276.9,68.98,FEDEXG,FedEx Ground,1PW,Mystic,CT,,,
491206,43774,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,5,313.48,15.69,FEDEXG,FedEx Ground,1PW,Venice,FL,,,
491440,43777,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,5,313.48,15.69,FEDEXG,FedEx Ground,1PW,Ellenton,FL,,,
476437,43475,OLD DOMINION LTG - CENTRAL,ODLC,REP,CURRENT REP,REP,Karine Adrien,1,0,0,FEDEXSO,FedEx Standard Overnight,1PW,Richmond,VA,,"DO NOT CHARGE FREIGHT                             
",
476438,43475,OLD DOMINION LTG - EAST,ODLE,REP,CURRENT REP,REP,Karine Adrien,1,0,0,FEDEXSO,FedEx Standard Overnight,1PW,Virginia Beach,VA,,"DO NOT CHARGE FREIGHT                             
",
492058,43790,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,2,23.45,11.92,FEDEXG,FedEx Ground,1PW,Kennesaw,GA,,,
476440,43475,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,294.75,0,UPSG,UPS Ground,1PW,Vineyard Haven,MA,,USE UPS ACCT#T3301T,
476441,43475,JESCO LIGHTING GROUP,DALLAS,JESC,JESCO HOUSE ACCOUNT,HSLA,Maria Hernandez,3,0,0,UPSN,UPS Next Day Air,1PW,Dallas,TX,,"DO NOT CHARGE FREIGHT                             
",
476442,43475,NYCS,NYCS,REP,CURRENT REP,REP,Edwin Ma,4,0,0,PICKUP,Pick Up,1PW,Port Washington,NY,,,
492299,43795,"ADVANCED POWER TECH, LLC",ADVAPBE,CONT,CONTRACTOR / ELECTRICAL,CSNA,Manny Estevez,3,94.72,17.67,FEDEXG,FedEx Ground,2LA,Summerdale,AL,,,
482159,43581,"ADVENTURE LIGHTING, INC",ADVEDEM,BULB,LIGHT BULB SPECIALIST - WHOLESALE/RETAIL,LGSO,Veronica Garcia,1,845,60.56,FEDEXG,FedEx Ground,2LA,Des Moines,IA,,,
476445,43475,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,20.7,0,UPSG,UPS Ground,2LA,Indianapolis,IN,,USE UPS ACCT#T3301T,
476446,43475,"UNBEATABLESALE.COM, INC.",UNBELAK,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,31.5,0,FEDEXG,FedEx Ground,2LA,Coppell,TX,,USE FEDEX #312721961,
476447,43475,INTERNATIONAL LINEAR MATRIX,INTLMA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,CHES,Verenis Cervantes,1,1248,350.16,FEDEXPO,FedEx Priority Overnight,2LA,Largo,FL,,,
490737,43763,"ADVENTURE LIGHTING, INC",ADVEDEM,BULB,LIGHT BULB SPECIALIST - WHOLESALE/RETAIL,LGSO,Veronica Garcia,1,78,26.07,FEDEXG,FedEx Ground,1PW,Des Moines,IA,,,
476450,43475,ALIBABA LIGHTING FURNITURE INC,ALIBFLU,DIST,LIGHTING DISTRIBUTOR,AYIN,Edwin Ma,11,497.12,0,DELIVERY,Delivery,1PW,Flushing,NY,,,
476451,43475,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,188.87,0,UPSG,UPS Ground,2LA,Spartanburg,SC,,USE UPS ACCT#T3301T,
476452,43476,CHUANG YE ELECTRICAL SUPPLY,CHUANG,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,AYIN,Edwin Ma,2,193.52,0,DELIVERY,Delivery,1PW,New York,NY,,,
476453,43476,R. BDELAA LIGHTING INC,RBDEFOR,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,AYIN,Edwin Ma,1,80,0,DELIVERY,Delivery,1PW,Forest Hills,NY,,,
476454,43476,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,2,168.72,0,DELIVERY,Delivery,1PW,Maspeth,NY,,,
476455,43476,"A & E BOWERY LIGHTING, INC.",AEBONYO,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,AYIN,Edwin Ma,1,115,0,DELIVERY,Delivery,1PW,New York,NY,,,
484187,43627,AERY LIGHTING SUPPLY,AERYLS,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,5,4845,34.33,FEDEXG,FedEx Ground,1PW,Greenwich,CT,,,
484358,43629,AERY LIGHTING SUPPLY,AERYLS,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,12,2035,156.22,FEDEXG,FedEx Ground,1PW,White Plains,NY,,,
485114,43644,AERY LIGHTING SUPPLY,AERYLS,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,1,1520,73.08,FEDEXG,FedEx Ground,1PW,Greenwich,CT,,,
489216,43732,AERY LIGHTING SUPPLY,AERYLS,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,4,750.9,28.1,FEDEXG,FedEx Ground,1PW,Greenwich,CT,,,
476461,43476,REGENCY LIGHTING,REGENC,DIST,LIGHTING DISTRIBUTOR,FAAS,Maria Hernandez,2,297.9,0,UPSG,UPS Ground,1PW,Carlstadt,NJ,,USE UPS# 1444860,
475995,43467,"AFD DELAWARE, INC.",AFD,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,NYCS,Edwin Ma,4,652.5,9.52,FEDEXG,FedEx Ground,1PW,Glendale,NY,,,
476463,43476,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,159.84,0,UPSG,UPS Ground,1PW,New York,NY,,USE UPS ACCT#T3301T,
476464,43476,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,2,87.84,0,UPSG,UPS Ground,1PW,Frisco,CO,,USE UPS ACCT#T3301T,
476412,43475,"AFD DELAWARE, INC.",AFD,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,NYCS,Edwin Ma,3,1780,108.5,FEDEXG,FedEx Ground,1PW,Glendale,NY,,,
478103,43507,"AFD DELAWARE, INC.",AFD,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,NYCS,Edwin Ma,2,732.5,26.71,FEDEXG,FedEx Ground,1PW,Glendale,NY,,,
486799,43683,"AFD DELAWARE, INC.",AFD,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,NYCS,Edwin Ma,1,537.6,10.03,FEDEXG,FedEx Ground,1PW,Glendale,NY,,,
488556,43719,"AFD DELAWARE, INC.",AFD,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,NYCS,Edwin Ma,1,81,9.1,FEDEXG,FedEx Ground,1PW,Glendale,NY,,,
490399,43755,"AFD DELAWARE, INC.",AFD,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,NYCS,Edwin Ma,2,973.75,53.59,FEDEXG,FedEx Ground,1PW,Glendale,NY,,,
476470,43476,"GRAYBAR - PORTLAND, OR",GRAPORT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SOLU,Veronica Garcia,1,6.95,0,UPSG,UPS Ground,1PW,Vancouver,WA,,USE UPS ACCT#9769V8,
484718,43636,ALAMEDA ELECTRICAL DISTRIBUTOR,ALAMED,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,HEMA,Maria Hernandez,1,173.8,13.94,FEDEXG,FedEx Ground,2LA,Hayward,CA,,,
483553,43614,ALEXANDRIA LIGHTING & SUPPLY,ALEXALE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LENV,Verenis Cervantes,2,350,11.47,FEDEXG,FedEx Ground,1PW,Alexandria,VA,,,
484016,43623,ALEXANDRIA LIGHTING & SUPPLY,ALEXALE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LENV,Verenis Cervantes,1,177,10.78,FEDEXG,FedEx Ground,1PW,Alexandria,VA,,,
476474,43476,"UNBEATABLESALE.COM, INC.",UNBELAK,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Karine Adrien,1,23.85,0,FEDEXG,FedEx Ground,1PW,Lutz,FL,,SHIP FEDEX ACCT #312721961,
492502,43802,ALEXANDRIA LIGHTING & SUPPLY,ALEXALE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LENV,Verenis Cervantes,5,316.1,141.07,FEDEXG,FedEx Ground,1PW,New York,NY,,,
493079,43812,ALEXANDRIA LIGHTING & SUPPLY,ALEXALE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LENV,Verenis Cervantes,8,316.7,195.88,FEDEXG,FedEx Ground,1PW,Alexandria,VA,,,
476477,43476,JESCO LIGHTING GROUP,DALLAS,JESC,JESCO HOUSE ACCOUNT,HSLA,Maria Hernandez,2,0,0,UPS2A,UPS 2nd Day Air A.M.,1PW,Dallas,TX,,"DO NOT CHARGE FREIGHT                             
",
476478,43476,"WESCO DISTRIBUTION, INC",WESCDAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,1,145,0,UPSG,UPS Ground,1PW,Fort Worth,TX,,USE UPS# 753637,
476541,43479,ALIBABA LIGHTING FURNITURE INC,ALIBFLU,DIST,LIGHTING DISTRIBUTOR,AYIN,Edwin Ma,1,12,9.1,FEDEXG,FedEx Ground,1PW,Long Island City,NY,,,
476480,43476,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,133.09,0,UPSG,UPS Ground,1PW,Eugene,OR,,USE UPS ACCT#T3301T,
477069,43488,ALIBABA LIGHTING FURNITURE INC,ALIBFLU,DIST,LIGHTING DISTRIBUTOR,AYIN,Edwin Ma,4,35,10.89,FEDEXG,FedEx Ground,1PW,Long Island City,NY,,,
490581,43760,"ALL AROUND LIGHTING, INC.",ALLAIRV,DIST,LIGHTING DISTRIBUTOR,FAAS,Maria Hernandez,2,219.44,14,FEDEXG,FedEx Ground,2LA,Irvine,CA,,,
476483,43476,JESCO LIGHTING GROUP,DALLAS,JESC,JESCO HOUSE ACCOUNT,HSLA,Maria Hernandez,3,0,0,UPSN,UPS Next Day Air,1PW,Dallas,TX,,"DO NOT CHARGE FREIGHT                             
",
489691,43741,"ALL METRO ELECTRICAL DIST, INC",ALLMSNE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,ARWI,Verenis Cervantes,1,84,26.07,FEDEXG,FedEx Ground,1PW,Snellville,GA,,,
479494,43531,KINGSMEN PROJECTS US,KINGCME,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,IRAM,Dee Erdei,20,23866.83,325,FEDEXIP,FedEx International Priority,1PW,,,Intl,,
476486,43476,"NAKAMURA-BEEMAN, INC",NAKASAN,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,DENB,Dee Erdei,2,91.95,0,FEDEXES,FedEx Express Saver,1PW,Santa Fe Springs,CA,,FEDEX ACCT# 1410-4343-9,
476553,43479,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,2,25,10.84,FEDEXG,FedEx Ground,1PW,Grand Rapids,MI,,,
479172,43525,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,6,2110.2,42.26,FEDEXG,FedEx Ground,1PW,Grand Rapids,MI,,,
476489,43476,BENFIELD ELECT SUPPLY- MAHWAH,BENFMAH,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,NYCS,Edwin Ma,1,4.44,0,UPSG,UPS Ground,1PW,Mahwah,NJ,,USE UPS ACCT# X71556,
479663,43535,"SHANGHAI PEIZE ENT. CO., LTD.",PEIZSHA,DISW,DISPLAY RETAILER/PRODUCER - WOOD,IRAM,Dee Erdei,17,1447.08,20,YUNDA,,1PW,Shanghai,,Intl,,
476491,43476,HILL ELECTRIC SUPPLY CO. INC.,HILLGLE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,HOWL,Verenis Cervantes,2,275,52.24,UPSG,UPS Ground,2LA,Glens Falls,NY,,,
476492,43476,FLEETWOOD INDUSTRIES,FLEELEE,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,IRAM,Dee Erdei,1,4.05,0,UPSG,UPS Ground,2LA,Leesport,PA,,UPS ACCOUNT #171013,
479757,43537,"MIMAX LIGHTING, C/O MARTI",MIMA,REP,CURRENT REP,REP,Karine Adrien,1,1050,0,DHLWPE,DHL Worldwide Priority Express,1PW,Dubai,,Intl,,why was freight not charged?
480741,43553,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,5,184.45,100.49,FEDEXG,FedEx Ground,1PW,Grandville,MI,,,
476496,43476,CED - ARIZONA ELECTRIC SUPPLY,CEDARES,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,INVL,Maria Hernandez,1,200,0,UPSG,UPS Ground,2LA,Phoenix,AZ,,USE UPS# 876346,
481930,43578,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,4,18267.9,159.01,FEDEXG,FedEx Ground,1PW,Grand Rapids,MI,,,
476498,43476,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,10.36,0,FEDEXG,FedEx Ground,2LA,Mechanicsville,MD,,USE FEDEX ACCT# 124454549,
476499,43476,QED - DENVER,QEDDEN,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,PURE,Veronica Garcia,1,83.22,0,UPSG,UPS Ground,2LA,Centennial,CO,,USE UPS ACCT#7F85F2,
484656,43636,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,1,137.9,15.89,FEDEXG,FedEx Ground,1PW,Grandville,MI,,,
476501,43476,EMSCO ELECTRIC SUPPLY,EMSCOKL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,1,1590,160,LA-TRUCKING,LA Trucking,2LA,Oklahoma City,OK,,,
476502,43479,EXPRESSIVE LTG,LAURA,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,7,5248.43,0,DELIVERY,Delivery,1PW,New Rochelle,NY,,,
476503,43479,EXPRESSIVE LTG,LAURA,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,7,5248.43,0,DELIVERY,Delivery,1PW,New Rochelle,NY,,,
476504,43479,EXPRESSIVE LTG,LAURA,DIST,LIGHTING DISTRIBUTOR,METR,Verenis Cervantes,7,5248.43,0,DELIVERY,Delivery,1PW,New Rochelle,NY,,,
476505,43479,"BELL ELECTRICAL SUPPLIES,INC.",BELL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,384,0,DELIVERY,Delivery,1PW,Woodside,NY,,,
476506,43479,"BELL ELECTRICAL SUPPLIES,INC.",BELL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,4,165.75,0,DELIVERY,Delivery,1PW,Woodside,NY,,,
476507,43479,"INCOLIGHT GROUP, LLC",JNPTJCI,DIST,LIGHTING DISTRIBUTOR,NYCS,Edwin Ma,3,770.2,0,DELIVERY,Delivery,1PW,New York,NY,,,
476508,43479,TWIN BROTHERS ELECTRIC SUPPLY,TWINBR,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,210,0,DELIVERY,Delivery,1PW,Astoria,NY,,,
476509,43479,CENTURY ELECTRIC & BLDG SUPPLY,CENELE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,300,0,DELIVERY,Delivery,1PW,Flushing,NY,,,
476510,43479,GRAND ELECTRICAL EQUIP&SUPPLY,GHOME,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,3,750,0,DELIVERY,Delivery,1PW,New York,NY,,,
476511,43479,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,13,2957.92,0,DELIVERY,Delivery,1PW,Maspeth,NY,,,
476512,43479,"LEE & LEE SUPPLIES, INC.",GRANT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,5,3001.06,0,DELIVERY,Delivery,1PW,Long Island City,NY,,,
476513,43479,"LEE & LEE SUPPLIES, INC.",GRANT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,5,198.34,0,DELIVERY,Delivery,1PW,Long Island City,NY,,,
476514,43479,LT LIGHTING LLC,LTLIAST,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,AYIN,Edwin Ma,2,2580,0,PICKUP,Pick Up,1PW,Astoria,NY,,,
476515,43479,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,18.57,0,FEDEXG,FedEx Ground,1PW,Phoenixville,PA,,USE FEDEX ACCT.# 124454549,
476516,43479,"INCOLIGHT GROUP, LLC",JNPTJCI,DIST,LIGHTING DISTRIBUTOR,NYCS,Edwin Ma,1,213.12,0,UPSG,UPS Ground,1PW,New York,NY,,USE UPS ACT# 2X9047,
476517,43479,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,53.7,0,UPSG,UPS Ground,1PW,Durham,NC,,SHIP VIA UPS ACCT # Y36935,
476518,43479,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,44.8,0,UPSG,UPS Ground,1PW,Cumberland Center,ME,,SHIP VIA UPS ACCT # Y36935,
491341,43776,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,7,467.1,39.5,FEDEXG,FedEx Ground,1PW,Grand Rapids,MI,,,
491580,43781,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,1,0,0,FEDEXG,FedEx Ground,1PW,Grand Rapids,MI,,"DO NOT CHARGE FREIGHT                             
",
492966,43810,ALL PHASE - GRAND RAPIDS,ALLPGRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLSW,Verenis Cervantes,32,6550.82,91.67,FEDEXG,FedEx Ground,1PW,Byron Center,MI,,,
476522,43479,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,5,32.89,0,FEDEXG,FedEx Ground,1PW,Elk Grove,CA,,USE FEDEX ACCT.# 124454549,
476523,43479,LOEB ELECTRIC,LOEBCOL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,DEND,Dee Erdei,1,78,0,FEDEXG,FedEx Ground,1PW,Columbus,OH,,FEDEX ACCT # 8942-3044-4,
